intent,response,utter_link,utter_send_link,utter_ask_more
UNDERSTANDING_LABOR-CONTRACT,부당한 계약에 대한 법적인 절차에 대해 궁금해 하시는군요. / 부당계약때문에 어려움을 겪고 계시는군요. / 근로계약서 작성에 대해 궁금하시군요.,"대한법률구조공단에서는 다음과 같은 상담사례를 제공하고 있으니, 참고해보시면 좋을 것 같습니다.",https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=2&folderId=001&caseId=case-001-00413&listNm=%EB%85%B8%EB%8F%99&searchCnd=0&searchWrd=&scdFolderId=001006 / https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=2&folderId=001&caseId=case-001-00414&listNm=%EB%85%B8%EB%8F%99&searchCnd=0&searchWrd=&scdFolderId=001006 / https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=2&folderId=001&caseId=case-001-00420&listNm=%EB%85%B8%EB%8F%99&searchCnd=0&searchWrd=&scdFolderId=001006,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.
UNDERSTANDING_LABOR-FIRE,직장에서의 해고에 대해 궁금하시군요. / 해고의 부당성 여부 판단 기준 및 관련한 법에 대해 알기를 원하시는군요. / 계약 종료 및 해고에 대해 알려드리도록 할게요.,"대한법률구조공단에서는 다음과 같은 상담사례를 제공하고 있으니, 참고해보시면 좋을 것 같습니다.",https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=1&folderId=001&caseId=case-001-00332&listNm=%EB%85%B8%EB%8F%99&searchCnd=0&searchWrd=%ED%95%B4%EA%B3%A0&scdFolderId= / https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=2&folderId=001&caseId=case-001-00043&listNm=%EB%85%B8%EB%8F%99&searchCnd=0&searchWrd=%ED%95%B4%EA%B3%A0&scdFolderId= / https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=3&folderId=001&caseId=case-001-00057&listNm=%EB%85%B8%EB%8F%99&searchCnd=0&searchWrd=%ED%95%B4%EA%B3%A0&scdFolderId=,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.
UNDERSTANDING_LABOR-LAZY,근무에 대한 불성실함 및 태만함에 대한 법에서 정당함을 보장하는 대응 방법을 알려드릴게요. / 근무태만이 해고의 원인이 될 수 있을지 궁금하시군요. / 업무상의 부정적인 태도와 계약종료 및 해고의 연관성에 대해 알려드릴게요.,"대한법률구조공단에서는 다음과 같은 상담사례를 제공하고 있으니, 참고해보시면 좋을 것 같습니다.",https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=1&folderId=001&caseId=case-001-00289&listNm=%EB%85%B8%EB%8F%99&searchCnd=0&searchWrd=%ED%95%B4%EA%B3%A0&scdFolderId= / https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=3&folderId=001&caseId=case-001-00061&listNm=%EB%85%B8%EB%8F%99&searchCnd=0&searchWrd=%ED%95%B4%EA%B3%A0&scdFolderId= / https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=5&folderId=001&caseId=case-001-00406&listNm=%EB%85%B8%EB%8F%99&searchCnd=0&searchWrd=%ED%95%B4%EA%B3%A0&scdFolderId=,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.
UNDERSTANDING_LABOR-RETIRE,퇴직금을 받을 수 있을지 알려드릴게요. / 퇴직금의 산정 및 부여 기준에 대해 궁금해하고 계시군요. / 퇴직금 및 실업급여에 대해 궁금해 하시는 점을 알려드릴게요.,"대한법률구조공단에서는 다음과 같은 상담사례를 제공하고 있으니, 참고해보시면 좋을 것 같습니다.",https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=1&folderId=001&caseId=case-001-00160&listNm=%EB%85%B8%EB%8F%99&searchCnd=0&searchWrd=%ED%87%B4%EC%A7%81%EA%B8%88&scdFolderId= / https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=4&folderId=001&caseId=case-001-00189&listNm=%EB%85%B8%EB%8F%99&searchCnd=0&searchWrd=%ED%87%B4%EC%A7%81%EA%B8%88&scdFolderId= / https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=1&folderId=001&caseId=case-001-00002&listNm=%EB%85%B8%EB%8F%99&searchCnd=0&searchWrd=%ED%87%B4%EC%A7%81%EA%B8%88&scdFolderId=,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.
UNDERSTANDING_LABOR-INSURANCE,산재보험 가입 및 처리에 대해 알고싶어 하시는군요. / 산재보험의 가입 조건 및 처리 절차에 대해 알려드릴게요. / 산재보험 때문에 궁금한 점이 많으시군요.,"대한법률구조공단에서는 다음과 같은 상담사례를 제공하고 있으니, 참고해보시면 좋을 것 같습니다.",https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=1&folderId=001&caseId=case-001-00203&listNm=%EB%85%B8%EB%8F%99&searchCnd=0&searchWrd=%EC%82%B0%EC%9E%AC&scdFolderId= / https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=2&folderId=001&caseId=case-001-00231&listNm=%EB%85%B8%EB%8F%99&searchCnd=0&searchWrd=%EC%82%B0%EC%9E%AC&scdFolderId= / https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=3&folderId=001&caseId=case-001-00445&listNm=%EB%85%B8%EB%8F%99&searchCnd=0&searchWrd=%EC%82%B0%EC%9E%AC&scdFolderId=,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.
UNDERSTANDING_LABOR-TIME,법정 근로시간에 대해 궁금해 하시는군요. / 근로시간 계산 기준과 방법에 대해 궁금해 하시는군요. / 근로시간 때문에 궁금한 것이 많으시군요.,"대한법률구조공단에서는 다음과 같은 상담사례를 제공하고 있으니, 참고해보시면 좋을 것 같습니다.",https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=1&folderId=001&caseId=case-001-00422&listNm=%EB%85%B8%EB%8F%99&searchCnd=0&searchWrd=%EC%8B%9C%EA%B0%84&scdFolderId= / https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=1&folderId=001&caseId=case-001-00424&listNm=%EB%85%B8%EB%8F%99&searchCnd=0&searchWrd=&scdFolderId=001007 / https://www.klac.or.kr/legalinfo/counselView.do?pageIndex=1&folderId=001&caseId=case-001-00024&listNm=%EB%85%B8%EB%8F%99&searchCnd=0&searchWrd=%EC%8B%9C%EA%B0%84&scdFolderId=,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.
UNDERSTANDING_PRIVACY-PHOTO,사진을 도용당했을 경우에 어떠한 법적인 절차를 밟을 수 있을지 궁금하시군요. / 무단으로 게시된 사진을 어떻게 법적으로 처리할 수 있을지 알려드릴게요. / 동의 없이 게시된 사진 사용의 경우에 적절한 법적인 대응 방법을 알려드리도록 할게요.,"대한법률구조공단에서는 다음과 같은 상담사례를 제공하고 있으니, 참고해보시면 좋을 것 같습니다.",https://www.klac.or.kr/legalinfo/counselView.do?folderId=004014&caseId=case-004-00048 / https://www.klac.or.kr/legalinfo/counselView.do?folderId=018030&caseId=case-018-00114 / https://www.klac.or.kr/legalinfo/counselView.do?folderId=004006&caseId=case-004-00644,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.
UNDERSTANDING_PRIVACY-INFORMATION,개인정보가 유출되었을 경우에 어떻게 대응할 수 있을지 궁금하시군요. / 개인정보 유출에 관한 법적인 조치에 대해 궁금해 하시고 있군요. / 개인정보가 무단으로 유출되었을 경우에 어떻게 대응할 수 있을지 알려드릴게요. ,"대한법률구조공단에서는 다음과 같은 상담사례를 제공하고 있으니, 참고해보시면 좋을 것 같습니다.",https://www.klac.or.kr/legalinfo/counselView.do?folderId=010002&caseId=case-010-00315 / https://www.klac.or.kr/legalinfo/counselView.do?folderId=018030&caseId=case-018-00591 / https://www.klac.or.kr/legalinfo/counselView.do?folderId=004001&caseId=case-004-00461,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.
UNDERSTANDING_PRIVACY-FRAUD,개인의 신상을 도용하여 사칭한 경우에 어떻게 대응해야 하는지 알려드릴게요. / 신상도용에 관한 법적인 조치 방법을 알려드릴게요. / 개인 신상 도용의 경우 어떻게 대응할 수 있을지 궁금해하시는군요.,"대한법률구조공단에서는 다음과 같은 상담사례를 제공하고 있으니, 참고해보시면 좋을 것 같습니다. 질문하신 내용에 대해서는 정확한 답변이 존재하지 않아 관련 상담사례를 보여드리겠습니다.",https://www.klac.or.kr/legalinfo/counselView.do?folderId=009004&caseId=case-009-00564 / https://www.klac.or.kr/legalinfo/counselView.do?folderId=018018&caseId=case-018-00228 / https://www.klac.or.kr/legalinfo/counselView.do?folderId=018030&caseId=case-018-00583,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.
UNDERSTANDING_PRIVACY-INSULT,모욕에 관한 법에 대해 알려드릴게요. / 모욕과 관련한 행위에 어떤 대응을 할 수 있을지 알려드릴게요. / 모욕과 관련한 사건의 경우 법적으로 어떤 조치를 취할 수 있을지 궁금하시군요. ,"대한법률구조공단에서는 다음과 같은 상담사례를 제공하고 있으니, 참고해보시면 좋을 것 같습니다.",https://www.klac.or.kr/legalinfo/counselView.do?folderId=018008&caseId=case-018-00761 / https://www.klac.or.kr/legalinfo/counselView.do?folderId=019001&caseId=case-019-00012 / https://www.klac.or.kr/legalinfo/counselView.do?folderId=018008&caseId=case-018-00308,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.
